# pnof7 / def2-svp / energies in kcal/mol
Set:Reaction    EnergyApprox    Energy  abs(EnergyDiff)
MB16-43:5          -98.81       147.68   246.49
MB16-43:16          37.96       326.76   288.80
MB16-43:21         563.99       806.23   242.24
MB16-43:24         791.78      1070.64   278.86
MB16-43:23        -690.66       215.39   906.05
MB16-43:40        -550.01      -362.98   187.03
MB16-43:19         382.18       664.56   282.38
MB16-43:22         528.16       706.20   178.04
MB16-43:31         254.19       534.90   280.71
MB16-43:38        -109.22        98.19   207.41
MB16-43:14         148.05       384.89   236.84
MB16-43:37        -455.19       629.78  1084.97
MB16-43:35        -633.09       228.18   861.27
MB16-43:32         414.95       685.58   270.63
MB16-43:30        1029.33      1290.74   261.41
MB16-43:4          112.60       356.85   244.25
MB16-43:3          318.41       518.66   200.25
MB16-43:43         228.09       421.97   193.88
MB16-43:2          499.12       737.79   238.67
MB16-43:8          444.51       681.96   237.45
MB16-43:41         -41.14       160.29   201.43
MB16-43:15          28.18       216.10   187.92
MB16-43:42         441.64       754.65   313.01
MB16-43:28         145.46       325.12   179.66
MB16-43:34         260.85       538.26   277.41
SIE4x4:8            21.45        19.10     2.35
SIE4x4:7            32.12        31.30     0.82
SIE4x4:16            8.10         9.30     1.20
SIE4x4:6            46.24        46.90     0.66
W4-11:131           60.38       147.02    86.64
