# gnof / def2-svp / energies in kcal/mol
Set:Reaction    EnergyApprox    Energy  abs(EnergyDiff)
SIE4x4:8             9.64        19.10     9.46
SIE4x4:7            18.51        31.30    12.79
SIE4x4:6            33.91        46.90    12.99
SIE4x4:5            44.35        56.90    12.55
SIE4x4:4            34.03        38.30     4.27
SIE4x4:3            45.07        48.70     3.63
W4-11:117          307.22       290.58    16.64
W4-11:137          124.61       152.37    27.76
W4-11:139           68.32       105.24    36.92
W4-11:138           87.07       147.43    60.36
W4-11:121          216.84       233.30    16.46
W4-11:129          232.83       234.35     1.52
W4-11:105          316.72       331.79    15.07
W4-11:115          218.88       233.09    14.21
W4-11:125          206.30       227.88    21.58
W4-11:114          263.79       270.85     7.06
W4-11:110           97.54       105.81     8.27
DC13:8             -26.95       -92.00    65.05
BH76:2             101.69        82.60    19.09
BH76:10            118.56       104.80    13.76
ALKBDE10:3          42.63        96.20    53.57
ALKBDE10:8          28.70        62.20    33.50
G2RC:21            -87.11       -81.21     5.90
G2RC:11              7.56       -24.89    32.45
W4-11:131           91.31       147.02    55.71
W4-11:136          122.59       126.39     3.80
W4-11:135           80.11       134.72    54.61
W4-11:42           589.27       577.78    11.49
W4-11:47           439.13       430.97     8.16
W4-11:108          304.26       346.94    42.68
