# pnof5 / def2-svp / energies in kcal/mol
Set:Reaction    EnergyApprox    Energy  abs(EnergyDiff)
SIE4x4:8             2.51        19.10    16.59
SIE4x4:7             5.57        31.30    25.73
SIE4x4:6            13.41        46.90    33.49
SIE4x4:5            24.97        56.90    31.93
SIE4x4:4            34.03        38.30     4.27
SIE4x4:3            45.07        48.70     3.63
W4-11:117          144.32       290.58   146.26
W4-11:137           40.64       152.37   111.73
W4-11:139           18.29       105.24    86.95
W4-11:138           36.39       147.43   111.04
W4-11:121          122.75       233.30   110.55
W4-11:129           95.75       234.35   138.60
W4-11:105          209.00       331.79   122.79
W4-11:115          121.66       233.09   111.43
W4-11:125           93.49       227.88   134.39
W4-11:114          155.23       270.85   115.62
W4-11:110           59.78       105.81    46.03
DC13:8              55.83       -92.00   147.83
BH76:2             129.43        82.60    46.83
BH76:10            163.64       104.80    58.84
ALKBDE10:3          32.13        96.20    64.07
ALKBDE10:8          22.68        62.20    39.52
G2RC:21           -103.97       -81.21    22.76
G2RC:11              5.40       -24.89    30.29
W4-11:131           88.19       147.02    58.83
W4-11:136           35.55       126.39    90.84
W4-11:135           29.55       134.72   105.17
W4-11:42           454.83       577.78   122.95
W4-11:47           347.10       430.97    83.87
W4-11:108          162.42       346.94   184.52
